AP;Abacate da Pedreira
BA;Abadia
GO;Abadia de Goias
MG;Abadia dos Dourados
GO;Abadiania
MG;Abaete
MG;Abaete dos Mendes
PA;Abaetetuba
CE;Abaiara
MG;Abaiba
BA;Abaira
PR;Abapa
BA;Abare
RJ;Abarracamento
PR;Abatia
SC;Abdon Batista
PA;Abel Figueiredo
SC;Abelardo Luz
BA;Abelhas
CE;Abilio Martins
BA;Abobora
RJ;Abraao
BA;Abrantes
MG;Abre Campo
PE;Abreu E Lima
TO;Abreulandia
MG;Abreus
RO;Abuna
MG;Acaiaca
MA;Acailandia
BA;Acajutiba
PR;Acampamento das Minas
PA;Acara
CE;Acarape
CE;Acarau
RN;Acari
PI;Acaua
RS;Acegua
ES;Acioli
CE;Acopiara
MT;Acorizal
AC;Acrelandia
GO;Acreuna
RN;Acu
BA;Acu da Torre
MG;Acucena
BA;Acudina
PR;Acungui
BA;Acupe
MG;Acurui
SP;Adamantina
MG;Adao Colares
GO;Adelandia
PR;Adhemar de Barros
SP;Adolfo
CE;Adrianopolis
PR;Adrianopolis
BA;Adustina
BA;Afligidos
PE;Afogados da Ingazeira
RJ;Afonso Arinos
RN;Afonso Bezerra
ES;Afonso Claudio
MA;Afonso Cunha
RS;Afonso Rodrigues
PE;Afranio
BA;Afranio Peixoto
PA;Afua
ES;Agha
SP;Agisse
PR;Agostinho
PE;Agrestina
PI;Agricolandia
SC;Agrolandia
SC;Agronomica
PA;Agropolis Bela Vista
PR;Agua Azul
PA;Agua Azul do Norte
MG;Agua Boa
MS;Agua Boa
MT;Agua Boa
PR;Agua Boa
AL;Agua Branca
PB;Agua Branca
PI;Agua Branca
PR;Agua Branca
MG;Agua Branca de Minas
AP;Agua Branca do Amapari
MS;Agua Clara
MG;Agua Comprida
PR;Agua do Boi
BA;Agua Doce
SC;Agua Doce
MA;Agua Doce do Maranhao
ES;Agua Doce do Norte
BA;Agua Fria
MT;Agua Fria
PA;Agua Fria
PE;Agua Fria
GO;Agua Fria de Goias
GO;Agua Limpa
PR;Agua Mineral
RN;Agua Nova
PE;Agua Preta
RS;Agua Santa
CE;Agua Verde
PR;Agua Vermelha
SP;Agua Vermelha
MG;Agua Viva
MT;Aguacu
CE;Aguai
SP;Aguai
MG;Aguanil
MT;Aguapei
PE;Aguas Belas
SC;Aguas Brancas
MT;Aguas Claras
RS;Aguas Claras
SC;Aguas Claras
SP;Aguas da Prata
MG;Aguas de Araxa
SC;Aguas de Chapeco
MG;Aguas de Contendas
SP;Aguas de Lindoia
SP;Aguas de Santa Barbara
SP;Aguas de Sao Pedro
BA;Aguas do Paulista
MG;Aguas Ferreas
MG;Aguas Formosas
SC;Aguas Frias
GO;Aguas Lindas de Goias
SC;Aguas Mornas
MG;Aguas Vermelhas
RS;Agudo
SP;Agudos
PR;Agudos do Sul
ES;Aguia Branca
PB;Aguiar
TO;Aguiarnopolis
SP;Agulha
RJ;Agulhas Negras
SC;Aguti
MG;Aimores
MT;Ainhumas
BA;Aiquara
PE;Airi
ES;Airituba
CE;Aiua
CE;Aiuaba
SC;Aiure
MG;Aiuruoca
SP;Ajapi
RS;Ajuricaba
MG;Alagoa
PB;Alagoa Grande
PB;Alagoa Nova
CE;Alagoinha
PB;Alagoinha
PE;Alagoinha
PI;Alagoinha do Piaui
BA;Alagoinhas
SP;Alambari
AL;Alazao
RS;Albardao
MG;Albertina
MG;Alberto Isaacson
SP;Alberto Moreira
MG;Albertos
MS;Albuquerque
PE;Albuquerque Ne
MA;Alcantara
CE;Alcantaras
PB;Alcantil
MT;Alcantilado
MS;Alcinopolis
BA;Alcobaca
MG;Aldeia
SP;Aldeia
SP;Aldeia de Carapicuiba
MA;Aldeias Altas
AL;Alecrim
PR;Alecrim
RS;Alecrim
BA;Alegre
ES;Alegre
MG;Alegre
RS;Alegrete
PI;Alegrete do Piaui
MG;Alegria
RS;Alegria
MG;Alem Paraiba
PA;Alenquer
PR;Alexandra
RN;Alexandria
MG;Alexandrita
GO;Alexania
MG;Alfenas
RS;Alfredo Brenner
ES;Alfredo Chaves
SP;Alfredo Guedes
SP;Alfredo Marcondes
MG;Alfredo Vasconcelos
SC;Alfredo Wagner
BA;Algodao
PB;Algodao de Jandaira
PA;Algodoal
BA;Algodoes
CE;Algodoes
PE;Algodoes
PB;Alhandra
PE;Alianca
TO;Alianca do Tocantins
BA;Almadina
TO;Almas
MG;Almeida
PA;Almeirim
MG;Almenara
RN;Almino Afonso
PR;Almirante Tamandare
RS;Almirante Tamandare
PA;Almoco
CE;Almofala
GO;Aloandia
MG;Alpercata
RS;Alpestre
MG;Alpinopolis
RO;Alta Alegre dos Parecis
MT;Alta Floresta
RO;Alta Floresta do Oeste
PA;Alta Para
SP;Altair
PA;Altamira
MA;Altamira do Maranhao
PR;Altamira do Parana
CE;Altaneira
PR;Altaneira
PA;Alter do Chao
MG;Alterosa
PE;Altinho
SP;Altinopolis
PR;Alto Alegre
RR;Alto Alegre
RS;Alto Alegre
SC;Alto Alegre
SP;Alto Alegre
PR;Alto Alegre do Iguacu
MA;Alto Alegre do Maranhao
MA;Alto Alegre do Pindare
GO;Alto Alvorada
PR;Alto Amparo
MT;Alto Araguaia
SC;Alto Bela Vista
MT;Alto Boa Vista
BA;Alto Bonito
ES;Alto Calcado
ES;Alto Caldeirao
MG;Alto Caparao
MG;Alto Capim
MT;Alto Coite
SC;Alto da Serra
RS;Alto da Uniao
MG;Alto de Santa Helena
PR;Alto do Amparo
RN;Alto do Rodrigues
RS;Alto Feliz
MT;Alto Garcas
GO;Alto Horizonte
MG;Alto Jequitiba
MT;Alto Juruena
PI;Alto Longa
MG;Alto Maranhao
ES;Alto Mutum Preto
PR;Alto Para
MT;Alto Paraguai
MT;Alto Paraiso
RO;Alto Paraiso
GO;Alto Paraiso de Goias
PR;Alto Parana
RS;Alto Paredao
MA;Alto Parnaiba
PR;Alto Piquiri
PR;Alto Pora
SP;Alto Pora
RS;Alto Recreio
MG;Alto Rio Doce
ES;Alto Rio Novo
PR;Alto Sabia
PR;Alto Santa Fe
ES;Alto Santa Maria
CE;Alto Santo
PR;Alto Sao Joao
MS;Alto Sucuriu
MT;Alto Taquari
RS;Alto Uruguai
MG;Altolandia
PR;Altonia
PI;Altos
SE;Altos Verdes
SP;Aluminio
MG;Alvacao
AM;Alvaraes
MG;Alvarenga
SP;Alvares Florence
SP;Alvares Machado
SP;Alvaro de Carvalho
SP;Alvinlandia
MG;Alvinopolis
MG;Alvorada
PA;Alvorada
RS;Alvorada
TO;Alvorada
MG;Alvorada de Minas
PI;Alvorada do Gurgueia
PR;Alvorada do Iguacu
GO;Alvorada do Norte
RO;Alvorada do Oeste
PR;Alvorada do Sul
SP;Amadeu Amaral
BA;Amado Bahia
RR;Amajari
MS;Amambai
CE;Amanaiara
CE;Amanari
MG;Amanda
SP;Amandaba
MS;Amandina
MG;Amanhece
BA;Amaniu
CE;Amaniutuba
AP;Amapa
MA;Amapa do Maranhao
AP;Amapari
PR;Amapora
PE;Amaraji
RS;Amaral Ferrador
GO;Amaralina
PI;Amarante
MA;Amarante do Maranhao
MG;Amarantina
CE;Amarelas
BA;Amargosa
CE;Amaro
AM;Amatari
AM;Amatura
AP;Ambe
PE;Ameixas
BA;Amelia Rodrigues
SP;Ameliopolis
CE;America
BA;America Dourada
SP;Americana
PA;Americano
GO;Americano do Brasil
BA;Americo Alves
SP;Americo Brasiliense
SP;Americo de Campos
RS;Ametista do Sul
MS;Amolar
CE;Amontada
PR;Amorinha
GO;Amorinopolis
PB;Amparo
RJ;Amparo
SP;Amparo
MG;Amparo da Serra
SE;Amparo de Sao Francisco
PR;Ampere
SP;Ana Dias
AL;Anadia
BA;Anage
PR;Anahy
TO;Anajanopolis
PA;Anajas
MA;Anajatuba
SP;Analandia
MT;Analandia do Norte
AM;Anama
TO;Ananas
PA;Ananindeua
GO;Anapolis
SP;Anapolis
PA;Anapu
MA;Anapurus
MS;Anastacio
CE;Anaua
MS;Anaurilandia
ES;Anchieta
SC;Anchieta
BA;Andarai
SP;Andes
PR;Andira
MG;Andiroba
BA;Andorinha
PR;Andorinhas
MG;Andradas
RJ;Andrade Pinto
SP;Andradina
RS;Andre da Rocha
MG;Andrelandia
MG;Andrequice
AL;Anel
PR;Angai
SP;Angatuba
MG;Angaturama
MG;Angelandia
MS;Angelica
PE;Angelim
SC;Angelina
ES;Angelo Frechiani
BA;Angical
PI;Angical do Piaui
BA;Angico
TO;Angico
RN;Angicos
MG;Angicos de Minas
RJ;Angra dos Reis
BA;Anguera
MG;Anguereta
PR;Angulo
MG;Angustura
MS;Anhandui
GO;Anhanguera
SP;Anhembi
SP;Anhumas
GO;Anicuns
MA;Anil
CE;Aningas
PI;Anisio de Abreu
SC;Anita Garibaldi
SC;Anitapolis
CE;Anjinhos
AM;Anori
RJ;Anta
RS;Anta Gorda
SC;Anta Gorda
BA;Antas
PR;Antas
PR;Antonina
CE;Antonina do Norte
PI;Antonio Almeida
CE;Antonio Bezerra
PR;Antonio Brandao de Oliveira
BA;Antonio Cardoso
MG;Antonio Carlos
SC;Antonio Carlos
MG;Antonio Dias
CE;Antonio Diogo
MG;Antonio dos Santos
MG;Antonio Ferreira
BA;Antonio Goncalves
MS;Antonio Joao
RS;Antonio Kerpel
PA;Antonio Lemos
CE;Antonio Marques
RN;Antonio Martins
PR;Antonio Olinto
MG;Antonio Pereira
RS;Antonio Prado
MG;Antonio Prado de Minas
MG;Antunes
AL;Anum Novo
AL;Anum Velho
PR;Anunciacao
ES;Anutiba
GO;Aparecida
PB;Aparecida
SP;Aparecida
GO;Aparecida de Goiania
GO;Aparecida de Goias
MG;Aparecida de Minas
SP;Aparecida de Monte Alto
SP;Aparecida de Sao Manuel
SP;Aparecida do Bonito
PR;Aparecida do Oeste
GO;Aparecida do Rio Claro
GO;Aparecida do Rio Doce
TO;Aparecida do Rio Negro
MS;Aparecida do Taboado
SP;Aparecida D'oeste
RJ;Aperibe
PA;Apeu
PR;Apiaba
ES;Apiaca
MT;Apiacas
SP;Apiai
SP;Apiai-mirim
MA;Apicum-acu
PA;Apinages
TO;Apinaje
SC;Apiuna
RN;Apodi
BA;Apora
GO;Apore
AP;Aporema
PE;Apoti
CE;Aprazivel
BA;Apuarema
PR;Apucarana
AM;Apui
CE;Apuiares
SE;Aquidaba
PR;Aquidaban
MS;Aquidauana
CE;Aquinopolis
CE;Aquiraz
SP;Arabela
SC;Arabuta
SP;Aracacu
PB;Aracagi
MG;Aracai
SP;Aracaiba
SE;Aracaju
SP;Aracariguama
BA;Aracas
CE;Aracas
CE;Aracati
MG;Aracati de Minas
CE;Aracatiacu
CE;Aracatiara
ES;Aracatiba
BA;Aracatu
SP;Aracatuba
ES;Arace
BA;Araci
MG;Aracitaba
CE;Aracoiaba
PE;Aracoiaba
SP;Aracoiaba da Serra
ES;Aracruz
GO;Aracu
MG;Aracuai
ES;Aracui
TO;Aragacui
GO;Aragarcas
GO;Aragoiania
TO;Aragominas
TO;Araguacema
TO;Araguacu
ES;Araguaia
MT;Araguaiana
TO;Araguaina
MT;Araguainha
MA;Araguana
TO;Araguana
GO;Araguapaz
MG;Araguari
TO;Araguatins
MA;Araioses
CE;Arajara
MS;Aral Moreira
BA;Aramari
RS;Arambare
MA;Arame
SP;Aramina
MG;Aramirim
CE;Aranau
SP;Arandu
MG;Aranha
PR;Aranha
MG;Arantina
CE;Arapa
CE;Arapari
SP;Arapei
AL;Arapiraca
BA;Arapiranga
PA;Arapixuna
TO;Arapoema
MG;Araponga
PR;Arapongas
MG;Arapora
CE;Araporanga
PR;Arapoti
MG;Arapua
MS;Arapua
PR;Arapua
PR;Arapuan
MT;Araputanga
PA;Araquaim
SC;Araquari
CE;Araquem
PB;Arara
ES;Ararai
SC;Ararangua
PR;Ararapira
SP;Araraquara
SP;Araras
CE;Ararenda
MA;Arari
RS;Ararica
CE;Araripe
PE;Araripina
CE;Ararius
RJ;Araruama
PB;Araruna
PR;Araruna
BA;Arataca
CE;Aratama
RS;Aratiba
CE;Araticum
CE;Aratuba
BA;Aratuipe
SE;Araua
PR;Araucaria
MG;Araujos
MG;Arauna
MG;Araxa
SP;Araxas
SP;Arcadas
MG;Arcangelo
MG;Arceburgo
RS;Arco Verde
PA;Arco-iris
RS;Arco-iris
SP;Arco-iris
MG;Arcos
PE;Arcoverde
MG;Areado
MS;Areado
RJ;Areal
SP;Arealva
PB;Areia
RN;Areia Branca
SE;Areia Branca
PR;Areia Branca dos Assis
PB;Areia de Baraunas
CE;Areial
PB;Areial
BA;Areias
PA;Areias
PB;Areias
PR;Areias
SP;Areias
SP;Areiopolis
BA;Arembepe
MT;Arenapolis
GO;Arenopolis
RN;Ares
MG;Argenita
MG;Argirita
BA;Argoim
ES;Argolas
BA;Argolo
AM;Ariau
BA;Aribice
MG;Aricanduva
PR;Aricanduva
MG;Arinos
PE;Aripibu
MT;Aripuana
RO;Ariquemes
SP;Ariranha
PR;Ariranha do Ivai
AP;Ariri
SP;Ariri
CE;Ariscos dos Marianos
MG;Aristides Batista
BA;Aritagua
PE;Arizona
RJ;Armacao de Buzios
SC;Armazem
CE;Arneiroz
SC;Arnopolis
PI;Aroazes
PR;Aroeira
CE;Aroeiras
PB;Aroeiras
PR;Arquimedes
PI;Arraial
RJ;Arraial do Cabo
TO;Arraias
RS;Arroio Canoas
RS;Arroio do Meio
RS;Arroio do Padre
RS;Arroio do Sal
RS;Arroio do So
RS;Arroio do Tigre
RS;Arroio dos Ratos
RS;Arroio Grande
SC;Arroio Trinta
CE;Arrojado
RJ;Arrozal
MT;Arruda
SP;Artemis
SP;Artur Nogueira
GO;Aruana
CE;Aruaru
SP;Aruja
PA;Arumanduba
PA;Aruri
MS;Arvore Grande
RS;Arvore So
SC;Arvoredo
RS;Arvorezinha
MG;Ascencao
SC;Ascurra
SP;Aspasia
PR;Assai
MG;Assarai
CE;Assare
MT;Assari
SP;Assis
AC;Assis Brasil
PB;Assis Chateaubriand
PR;Assis Chateaubriand
SP;Assistencia
CE;Assuncao
PB;Assuncao
PI;Assuncao do Piaui
MG;Astolfo Dutra
PR;Astorga
RS;Atafona
AL;Atalaia
PR;Atalaia
AM;Atalaia do Norte
SC;Atalanta
MG;Ataleia
SC;Aterrado Torto
RS;Atiacu
SP;Atibaia
ES;Atilio Vivacqua
SP;Atlantida
PA;Aturiai
TO;Augustinopolis
PA;Augusto Correa
MG;Augusto de Lima
AM;Augusto Montenegro
RS;Augusto Pestana
RS;Aurea
BA;Aurelino Leal
SP;Auriflama
GO;Aurilandia
GO;Auriverde
MA;Aurizona
CE;Aurora
SC;Aurora
PR;Aurora do Iguacu
PA;Aurora do Para
TO;Aurora do Tocantins
AM;Autazes
SP;Avai
MG;Avai do Jacinto
SP;Avanhandava
SP;Avare
PA;Aveiro
RJ;Avelar
PI;Avelino Lopes
RS;Avelino Paranhos
GO;Avelinopolis
SP;Avencas
AM;Axinim
MA;Axixa
TO;Axixa do Tocantins
SC;Azambuja
RS;Azevedo Sodre
MG;Azurita
TO;Babaculandia
MG;Babilonia
MA;Bacabal
MA;Bacabeira
SP;Bacaetava
MG;Bacao
MA;Bacatuba
RJ;Bacaxa
GO;Bacilandia
RS;Bacupari
MA;Bacuri
SP;Bacuriti
MA;Bacurituba
AM;Badajos
SP;Bady Bassitt
MG;Baependi
RS;Bage
PA;Bagre
SP;Baguacu
MG;Baguari
SC;Baia Alta
PB;Baia da Traicao
RN;Baia Formosa
ES;Baia Nova
BA;Baianopolis
MS;Baianopolis
PA;Baiao
AP;Bailique
MG;Baioes
SP;Bairro Alto
PR;Bairro Cachoeira
PR;Bairro do Felisberto
PR;Bairro Limoeiro
MG;Baixa
AL;Baixa da Onca
AL;Baixa do Capim
BA;Baixa do Palmeira
BA;Baixa Grande
CE;Baixa Grande
PI;Baixa Grande do Ribeiro
BA;Baixao
BA;Baixinha
CE;Baixio
CE;Baixio da Donana
ES;Baixo Guandu
PB;Balancos
AM;Balbina
MG;Balbinopolis
SP;Balbinos
MG;Baldim
GO;Baliza
RS;Baliza
SC;Balneario Arroio do Silva
SC;Balneario Barra do Sul
SC;Balneario Camboriu
SC;Balneario Gaivota
SC;Balneario Morro dos Conventos
RS;Balneario Pinhal
PR;Balsa Nova
AL;Balsamo
MS;Balsamo
SP;Balsamo
MA;Balsas
RJ;Baltazar
BA;Baluarte
MG;Bambui
CE;Banabuiu
SP;Bananal
AL;Bananeiras
PB;Bananeiras
BA;Banco Central
BA;Banco da Vitoria
CE;Bandeira
MG;Bandeira
BA;Bandeira do Almada
BA;Bandeira do Colonia
MG;Bandeira do Sul
SC;Bandeirante
GO;Bandeirantes
MG;Bandeirantes
MS;Bandeirantes
PR;Bandeirantes
TO;Bandeirantes do Tocantins
PR;Bandeirantes D'oeste
SP;Bandeirantes D'oeste
BA;Bandiacu
PR;Banhado
RS;Banhado do Colegio
PA;Bannach
RJ;Banquete
BA;Banzae
RS;Barao
SP;Barao Ataliba Nogueira
SP;Barao de Antonina
CE;Barao de Aquiraz
MG;Barao de Cocais
RS;Barao de Cotegipe
SP;Barao de Geraldo
MA;Barao de Grajau
RJ;Barao de Juparana
PR;Barao de Lucena
MT;Barao de Melgaco
MG;Barao de Monte Alto
RN;Barao de Serra Branca
MA;Barao de Tromai
RS;Barao do Triunfo
PB;Barauna
RN;Barauna
BA;Baraunas
MG;Barbacena
CE;Barbalha
SP;Barbosa
PR;Barbosa Ferraz
GO;Barbosilandia
PA;Barcarena
RN;Barcelona
AM;Barcelos
RJ;Barcelos
BA;Barcelos do Sul
SP;Bariri
BA;Barra
CE;Barra
MG;Barra Alegre
RJ;Barra Alegre
PR;Barra Bonita
SC;Barra Bonita
SP;Barra Bonita
SC;Barra Clara
BA;Barra da Estiva
MG;Barra da Figueira
SC;Barra da Lagoa
SC;Barra da Prata
PI;Barra D'alcantara
PE;Barra de Farias
PE;Barra de Guabiraba
RJ;Barra de Macae
ES;Barra de Novo Brasil
PB;Barra de Santa Rosa
PB;Barra de Santana
AL;Barra de Santo Antonio
ES;Barra de Sao Francisco
RJ;Barra de Sao Joao
AL;Barra de Sao Miguel
PB;Barra de Sao Miguel
PE;Barra de Sao Pedro
MG;Barra do Ariranha
AL;Barra do Bonifacio
PE;Barra do Brejo
MT;Barra do Bugres
PB;Barra do Camaratuba
SP;Barra do Chapeu
PE;Barra do Chata
BA;Barra do Choca
